epoch,train_loss,val_loss,learning_rate,timestamp
0,0.1592585310265422,0.10195971667766571,0.001,2026-06-07 13:47:57
1,0.03248049502819777,0.020869772732257843,0.001,2026-06-07 13:48:39
2,0.02330742920190096,0.020783296465873718,0.001,2026-06-07 13:49:22
3,0.021643898651003836,0.020221254125237464,0.001,2026-06-07 13:50:07
4,0.02105196538940072,0.02201301120221615,0.001,2026-06-07 13:50:51
5,0.01780134421400726,0.022967183619737624,0.001,2026-06-07 13:51:35
6,0.02358447293937206,0.02089621514081955,0.001,2026-06-07 13:52:20
7,0.016868498884141447,0.01860811035335064,0.001,2026-06-07 13:53:04
8,0.01699748290516436,0.016579201385378838,0.001,2026-06-07 13:53:47
9,0.015310746528208255,0.020294377818703652,0.001,2026-06-07 13:54:31
10,0.01602269255183637,0.01375573755055666,0.001,2026-06-07 13:55:15
11,0.015474040303379297,0.015226354487240315,0.001,2026-06-07 13:55:58
12,0.014790970491245389,0.012223278395831585,0.001,2026-06-07 13:56:41
13,0.014418308896943927,0.01577660620957613,0.001,2026-06-07 13:57:25
14,0.0143632401060313,0.015543366052210331,0.001,2026-06-07 13:58:10
15,0.014262569203972817,0.016856922432780266,0.001,2026-06-07 13:58:53
16,0.013774304879829287,0.017589487344026565,0.001,2026-06-07 13:59:36
17,0.013893261328339577,0.014647789001464843,0.001,2026-06-07 14:00:19
18,0.013124584609642624,0.016337070181965826,0.0008,2026-06-07 14:01:03
19,0.012562977615743876,0.012281627610325814,0.0008,2026-06-07 14:01:46
20,0.01199802277982235,0.013589745461940765,0.0008,2026-06-07 14:02:31
21,0.011628864428028464,0.012906309969723225,0.0008,2026-06-07 14:03:14
22,0.011509651923552156,0.011129928588867187,0.0008,2026-06-07 14:03:58
23,0.0111994041595608,0.01312212061136961,0.0008,2026-06-07 14:04:43
24,0.011135864816606045,0.015046758085489272,0.0008,2026-06-07 14:05:28
25,0.011185119904577732,0.012764736324548722,0.0008,2026-06-07 14:06:12
26,0.010938004614785314,0.017289583176374437,0.0008,2026-06-07 14:06:55
27,0.011053793335333467,0.011512004181742669,0.0008,2026-06-07 14:07:38
28,0.0104832216585055,0.011989450074732304,0.00064,2026-06-07 14:08:24
29,0.009737415888346732,0.00848307578638196,0.00064,2026-06-07 14:09:09
30,0.009791974445804954,0.013641298696398735,0.00064,2026-06-07 14:09:52
31,0.009734252917580306,0.010359334796667098,0.00064,2026-06-07 14:10:37
32,0.009814485318027437,0.008231026332825422,0.00064,2026-06-07 14:11:21
33,0.009506056134589016,0.00961202273517847,0.00064,2026-06-07 14:12:05
34,0.009307749719358981,0.01929041150212288,0.00064,2026-06-07 14:12:48
35,0.009337276515550911,0.009060035400092602,0.00064,2026-06-07 14:13:32
36,0.009392811463214457,0.011003472276031972,0.00064,2026-06-07 14:14:14
37,0.009201687814667821,0.010236008107662202,0.00064,2026-06-07 14:14:57
38,0.009149483526125551,0.01239211931079626,0.0005120000000000001,2026-06-07 14:15:41
39,0.008384193792939186,0.00813826173171401,0.0005120000000000001,2026-06-07 14:16:24
40,0.00848209941573441,0.007748741790652275,0.0005120000000000001,2026-06-07 14:17:07
41,0.00834109779074788,0.008346164267510175,0.0005120000000000001,2026-06-07 14:17:52
42,0.008123289593495429,0.009389565654098988,0.0005120000000000001,2026-06-07 14:18:37
43,0.008168315470218658,0.015964097626507284,0.0005120000000000001,2026-06-07 14:19:20
44,0.008285178005695342,0.008425829283893108,0.0005120000000000001,2026-06-07 14:20:03
45,0.008074646035209299,0.007574330952018499,0.0005120000000000001,2026-06-07 14:20:47
46,0.00797122035548091,0.0076627047061920165,0.0005120000000000001,2026-06-07 14:21:32
47,0.007907865674234927,0.007518774677067995,0.0005120000000000001,2026-06-07 14:22:16
48,0.007691926148720086,0.007571645870804787,0.0005120000000000001,2026-06-07 14:23:00
49,0.00786715740710497,0.007327988713979721,0.0005120000000000001,2026-06-07 14:23:45
