epoch,train_loss,val_loss,learning_rate,timestamp
0,0.4982191390395164,0.4556001875400543,0.001,2026-06-06 21:23:53
1,0.2255785756111145,0.2351988537311554,0.001,2026-06-06 21:27:26
2,0.1975938437283039,0.16571197855472564,0.001,2026-06-06 21:31:00
3,0.19583854722976685,0.15904657745361328,0.001,2026-06-06 21:34:34
4,0.1877407079935074,0.20093787217140197,0.001,2026-06-06 21:38:07
5,0.16088228464126586,0.13622522324323655,0.001,2026-06-06 21:41:41
6,0.16018633726239204,0.1477566430568695,0.001,2026-06-06 21:45:14
7,0.16072329452633857,0.13089402008056641,0.001,2026-06-06 21:48:48
8,0.15994574618339538,0.20524549376964568,0.001,2026-06-06 21:52:22
9,0.1616587387472391,0.2137162164449692,0.001,2026-06-06 21:55:56
10,0.14576283892989159,0.1569158376455307,0.001,2026-06-06 21:59:30
11,0.14795705819129945,0.11346757715940475,0.001,2026-06-06 22:03:04
12,0.15468760299682618,0.146113474547863,0.001,2026-06-06 22:06:38
13,0.1456686064749956,0.15950388956069947,0.001,2026-06-06 22:10:12
14,0.14823082149028777,0.16027510380744933,0.001,2026-06-06 22:13:47
15,0.13232656438648702,0.13127751982212066,0.001,2026-06-06 22:17:21
16,0.13564154426753522,0.1592109056711197,0.001,2026-06-06 22:20:55
17,0.1371331513375044,0.11738882690668107,0.0008,2026-06-06 22:24:29
18,0.11844908793270588,0.11050637012720108,0.0008,2026-06-06 22:28:04
19,0.12513966266810894,0.2757603622674942,0.0008,2026-06-06 22:31:38
20,0.12282863865792751,0.11102614504098893,0.0008,2026-06-06 22:35:13
21,0.11500123971700668,0.10580504500865937,0.0008,2026-06-06 22:38:48
22,0.12681111225485803,0.10610912168025971,0.0008,2026-06-06 22:42:22
23,0.11816594637930393,0.10195301496982574,0.0008,2026-06-06 22:45:58
24,0.11254655392467976,0.08904813891649246,0.0008,2026-06-06 22:49:33
25,0.11248125889897347,0.1126601470708847,0.0008,2026-06-06 22:53:08
26,0.1157953372746706,0.105158387362957,0.0008,2026-06-06 22:56:43
27,0.12008257649838924,0.0926472440958023,0.0008,2026-06-06 23:00:18
28,0.10926984938979149,0.10768707287311553,0.0008,2026-06-06 23:03:53
29,0.10872032809257508,0.09716775041818619,0.0008,2026-06-06 23:07:27
30,0.11440261708199978,0.14809284353256225,0.00064,2026-06-06 23:11:02
31,0.10038925588130951,0.09769235378503799,0.00064,2026-06-06 23:14:37
32,0.10979364106059074,0.11440302312374115,0.00064,2026-06-06 23:18:11
33,0.10074221344292164,0.09895841491222382,0.00064,2026-06-06 23:21:45
34,0.10156238341331482,0.08598069882392884,0.00064,2026-06-06 23:25:20
35,0.09960325707495213,0.08961999183893203,0.00064,2026-06-06 23:28:55
36,0.10289687210321427,0.088727629840374,0.00064,2026-06-06 23:32:29
37,0.10126956348121166,0.09457069343328475,0.00064,2026-06-06 23:36:04
38,0.09915580382943154,0.10623085498809814,0.00064,2026-06-06 23:39:38
39,0.10625294789671898,0.10363614749908447,0.00064,2026-06-06 23:43:13
40,0.10265802991390229,0.08729362332820892,0.0005120000000000001,2026-06-06 23:46:48
41,0.09570342986285686,0.08923051863908768,0.0005120000000000001,2026-06-06 23:50:22
42,0.09251037898659706,0.07887481045722962,0.0005120000000000001,2026-06-06 23:53:57
43,0.096560342207551,0.08937552446126938,0.0005120000000000001,2026-06-06 23:57:32
44,0.09140995787084102,0.08156756800413131,0.0005120000000000001,2026-06-07 00:01:06
45,0.09048585218191146,0.07737256348133087,0.0005120000000000001,2026-06-07 00:04:42
46,0.09233301630616188,0.08506847816705704,0.0005120000000000001,2026-06-07 00:08:16
47,0.09391943889856338,0.10208222317695617,0.0005120000000000001,2026-06-07 00:11:51
48,0.09305118921399116,0.08142345756292343,0.0005120000000000001,2026-06-07 00:15:26
49,0.09139673529565334,0.07709050160646438,0.0005120000000000001,2026-06-07 00:19:00
