epoch,train_loss,val_loss,learning_rate,timestamp
0,0.35551626124978064,0.161492639541626,0.001,2026-06-06 17:35:44
1,0.18528050097823143,0.13973651194572448,0.001,2026-06-06 17:38:00
2,0.1938474164456129,0.12923210483789443,0.001,2026-06-06 17:40:16
3,0.17497951519489288,0.14004850631952287,0.001,2026-06-06 17:42:32
4,0.20067185610532762,0.12307098853588104,0.001,2026-06-06 17:44:47
5,0.18020946319401265,0.11863536262512207,0.001,2026-06-06 17:47:03
6,0.1738098985850811,0.12503270077705383,0.001,2026-06-06 17:49:20
7,0.15360802055895328,0.10166867679357529,0.001,2026-06-06 17:51:36
8,0.12473917055130004,0.0897193062901497,0.001,2026-06-06 17:53:52
9,0.11458681567013264,0.09047554504871369,0.001,2026-06-06 17:56:07
10,0.11034017229080201,0.08154709649085999,0.001,2026-06-06 17:58:23
11,0.1054096331000328,0.07620056015253067,0.001,2026-06-06 18:00:39
12,0.09205274532735348,0.0598140621483326,0.001,2026-06-06 18:02:55
13,0.10221294490993023,0.06204423606395722,0.001,2026-06-06 18:05:12
14,0.08765624811500311,0.07135957580804825,0.001,2026-06-06 18:07:27
15,0.08512851591408253,0.05607381999492645,0.001,2026-06-06 18:09:42
16,0.08059391008317471,0.05770944127440453,0.001,2026-06-06 18:11:59
17,0.07591311991959811,0.056576453119516375,0.001,2026-06-06 18:14:14
18,0.07682507109642028,0.05320581239461899,0.001,2026-06-06 18:16:29
19,0.07715877786278724,0.05188766840100288,0.001,2026-06-06 18:18:45
20,0.06868876056373119,0.047623963981866836,0.001,2026-06-06 18:21:01
21,0.06639823373407125,0.0376218738257885,0.001,2026-06-06 18:23:16
22,0.06355226398259402,0.037662809282541274,0.001,2026-06-06 18:25:32
23,0.06342797227203846,0.04013341090083122,0.001,2026-06-06 18:27:48
24,0.06266864878684282,0.03922647798061371,0.001,2026-06-06 18:30:05
25,0.05820350647717714,0.0350939686447382,0.001,2026-06-06 18:32:20
26,0.06516904222220182,0.03318649780750275,0.001,2026-06-06 18:34:36
27,0.05764915353804827,0.03242114216089249,0.001,2026-06-06 18:36:51
28,0.05922649309784174,0.036753429800271985,0.001,2026-06-06 18:39:07
29,0.05519876705855131,0.038843916624784466,0.001,2026-06-06 18:41:23
30,0.05671696738526225,0.031573872178792955,0.001,2026-06-06 18:43:39
31,0.055284006867557765,0.03064729580283165,0.001,2026-06-06 18:45:54
32,0.05363300206512213,0.029156657472252847,0.001,2026-06-06 18:48:10
33,0.055101041309535505,0.0494217426776886,0.001,2026-06-06 18:50:26
34,0.05253664529696107,0.027255173906683923,0.001,2026-06-06 18:52:41
35,0.05184419790655374,0.03730343329906464,0.001,2026-06-06 18:54:57
36,0.05328498267382383,0.033680173352360725,0.001,2026-06-06 18:57:12
37,0.05347775568068028,0.06834324753284454,0.001,2026-06-06 18:59:28
38,0.04779351440817118,0.028780152156949044,0.001,2026-06-06 19:01:43
39,0.05127787696197629,0.035910416468977926,0.001,2026-06-06 19:03:59
40,0.04967266065627336,0.03540942642092705,0.0008,2026-06-06 19:06:15
41,0.04565938533842564,0.03648957571387291,0.0008,2026-06-06 19:08:30
42,0.04409553531184793,0.027934911459684374,0.0008,2026-06-06 19:10:46
43,0.04715798968821764,0.03365306875109673,0.0008,2026-06-06 19:13:01
44,0.041672390263527634,0.14458058393001558,0.0008,2026-06-06 19:15:17
45,0.04146255226433277,0.032591610938310624,0.0008,2026-06-06 19:17:33
46,0.03812771479040384,0.02418109130859375,0.0008,2026-06-06 19:19:49
47,0.03478430701047182,0.028585864380002022,0.0008,2026-06-06 19:22:06
48,0.03295376348868012,0.02573521785438061,0.0008,2026-06-06 19:24:21
49,0.03354870872572065,0.02370511068403721,0.0008,2026-06-06 19:26:37
