epoch,train_loss,val_loss,train_snr,val_snr,learning_rate,timestamp
0,0.4901166349268569,0.2135367929180966,4.8406,10.455,0.001,2026-06-05 16:50:00
1,0.1885202683198947,0.13618813813487185,11.4818,13.885,0.001,2026-06-05 16:52:58
2,0.1563537561664947,0.11336842179298401,13.0955,15.1024,0.001,2026-06-05 16:55:56
3,0.13248074521271946,0.1071626960853987,14.6239,16.5771,0.001,2026-06-05 16:58:53
4,0.12172414083926442,0.08227111484053769,15.3913,17.8465,0.001,2026-06-05 17:01:51
5,0.10864763816419881,0.0813041462362567,16.1154,17.9327,0.001,2026-06-05 17:04:48
6,0.11862194207244026,0.10000450645066515,15.8311,16.1787,0.001,2026-06-05 17:07:46
7,0.10498407361701655,0.07416887430450585,16.6373,17.9715,0.001,2026-06-05 17:10:43
8,0.09594116389703827,0.08489763963071606,17.2125,16.0261,0.001,2026-06-05 17:13:40
9,0.09200664988150611,0.07404176598485512,17.3063,18.1291,0.001,2026-06-05 17:16:38
10,0.10078833079614198,0.09947238683323317,17.3196,16.6267,0.001,2026-06-05 17:19:35
11,0.09573610581624241,0.0612560186205031,17.0881,20.1493,0.001,2026-06-05 17:22:32
12,0.08737900862678552,0.0639166009105459,17.8584,19.5981,0.001,2026-06-05 17:25:30
13,0.08287977455808712,0.07000753962540929,18.2628,18.5422,0.001,2026-06-05 17:28:27
14,0.07946401979690923,0.30725092525723613,18.5127,-0.4931,0.001,2026-06-05 17:31:24
15,0.08567852657823898,0.05134895033662832,18.5456,21.2649,0.001,2026-06-05 17:34:21
16,0.07783401437317983,0.057983435926180854,18.8564,20.5632,0.001,2026-06-05 17:37:19
17,0.07826825605032924,0.11886356082520907,19.1346,15.2403,0.001,2026-06-05 17:40:16
18,0.08422226067215871,0.057647931094788295,18.3801,21.012,0.001,2026-06-05 17:43:13
19,0.07407547502567212,0.04039352434345438,18.9302,22.7261,0.001,2026-06-05 17:46:10
20,0.07955474655230205,0.23629330136353457,19.2069,7.4765,0.001,2026-06-05 17:49:07
21,0.07273148116878808,0.04621384269263171,19.1551,22.269,0.001,2026-06-05 17:52:04
22,0.07232152093380403,0.042603012976012655,19.3171,22.5807,0.001,2026-06-05 17:55:01
23,0.06766886880603461,0.04379804616298857,19.5785,22.4577,0.001,2026-06-05 17:57:58
24,0.0812336024694359,0.04514053298891345,19.0427,21.8576,0.001,2026-06-05 18:00:55
25,0.06363243276414018,0.04632312446078168,20.0935,21.6632,0.0008,2026-06-05 18:03:52
26,0.06162467880989797,0.03712627202083793,20.1101,23.0636,0.0008,2026-06-05 18:06:49
27,0.06619951584801888,0.03696604040038737,19.8913,22.974,0.0008,2026-06-05 18:09:46
28,0.06208303918282445,0.0392904905484447,20.1429,22.9542,0.0008,2026-06-05 18:12:43
29,0.06084421088996406,0.036746243462909625,20.2112,23.029,0.0008,2026-06-05 18:15:40
30,0.06799442292497562,0.04594906947658032,19.6985,21.6914,0.0008,2026-06-05 18:18:37
31,0.06449639085477914,0.044283891686155825,19.6808,22.3453,0.0008,2026-06-05 18:21:34
32,0.06803310788668002,0.14322853201552282,19.7857,14.9525,0.0008,2026-06-05 18:24:31
33,0.061650984703351897,0.035473917528421064,20.1883,23.2858,0.0008,2026-06-05 18:27:28
34,0.06454815095463119,0.03175713506208945,19.8403,23.7311,0.0008,2026-06-05 18:30:25
35,0.06135801415140636,0.04886381521443777,20.1434,20.837,0.0008,2026-06-05 18:33:22
36,0.05857719968968687,0.038077095499898815,20.5393,23.2953,0.0008,2026-06-05 18:36:18
37,0.0610195099117276,0.0443901019760325,20.2314,21.709,0.0008,2026-06-05 18:39:15
38,0.059590345778213906,0.03920909554897985,20.271,22.9108,0.0008,2026-06-05 18:42:12
39,0.06142970426870992,0.0495542761268495,20.1845,20.8502,0.0008,2026-06-05 18:45:09
40,0.061273238463952134,0.04080226739184766,20.324,22.0339,0.00064,2026-06-05 18:48:06
41,0.05959864200565952,0.033521129007015045,20.5505,23.5217,0.00064,2026-06-05 18:51:02
42,0.06007146415785669,0.0332820048862243,20.3509,23.3763,0.00064,2026-06-05 18:53:59
43,0.0561488820507694,0.03473584424657158,20.6905,23.4169,0.00064,2026-06-05 18:56:56
44,0.05936047531807194,0.029865998114588895,20.5684,24.1807,0.00064,2026-06-05 18:59:52
45,0.05950285812702994,0.034690832837095745,20.3656,23.654,0.00064,2026-06-05 19:02:50
46,0.058461365602410637,0.028225271054838276,20.4088,23.7941,0.00064,2026-06-05 19:05:47
47,0.05636140135839915,0.036359411676096014,20.8393,23.0419,0.00064,2026-06-05 19:08:44
48,0.056108890023951336,0.03498651115577432,20.6011,23.2456,0.00064,2026-06-05 19:11:41
49,0.055701985264928956,0.03594841775071772,20.6729,22.5425,0.00064,2026-06-05 19:14:38
